sample_id,repo_slug,PrimaryCategory,Category,CategorySet,Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),test_class,test_simple_class,test_method,maven_test_selector,pipeline_status,pipeline_failure_class,remote_repo_dir,remote_module_dir,validated_module_path,validated_test_identifier,validated_maven_test_selector,validation_log_path,validation_elapsed_seconds,IsCompositeCategory,pipeline_updated_at,test_file_candidates_json,test_file_found,validation_command,validation_ok,validation_returncode,validation_stage,validation_timed_out
Accenture__mercury__799e59d840db,Accenture/mercury,ID,ID,"[""ID""]",https://github.com/Accenture/mercury,e659caf000c2a714d921a52cbc85e13f56cef981,system/platform-core,org.platformlambda.core.PostOfficeTest.journalYamlTest,org.platformlambda.core.PostOfficeTest,PostOfficeTest,journalYamlTest,PostOfficeTest#journalYamlTest,verified_feasible,,data/worktrees/idoft/Accenture__mercury__799e59d840db/repo,data/worktrees/idoft/Accenture__mercury__799e59d840db/repo/system/platform-core,system/platform-core,org.platformlambda.core.PostOfficeTest.journalYamlTest,PostOfficeTest#journalYamlTest,runs/logs/build_smoke_pipeline/Accenture__mercury__799e59d840db.log,48.59,false,2026-05-26T17:07:37.907904+00:00,"[""data/worktrees/idoft/Accenture__mercury__799e59d840db/repo/system/platform-core/src/test/java/org/platformlambda/core/PostOfficeTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=PostOfficeTest#journalYamlTest test,True,0,build,False
Adyen__adyen-java-api-library__027e40f5f270,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestAmazonPayDetailsSerialization,com.adyen.CheckoutTest,CheckoutTest,TestAmazonPayDetailsSerialization,CheckoutTest#TestAmazonPayDetailsSerialization,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__027e40f5f270/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__027e40f5f270/repo,.,com.adyen.CheckoutTest.TestAmazonPayDetailsSerialization,CheckoutTest#TestAmazonPayDetailsSerialization,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__027e40f5f270.log,8.7,false,2026-05-26T17:03:10.640654+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__027e40f5f270/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestAmazonPayDetailsSerialization test,True,0,build,False
Adyen__adyen-java-api-library__02d7ff009c41,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestWeChatPayMiniProgramDetailsSerialization,com.adyen.CheckoutTest,CheckoutTest,TestWeChatPayMiniProgramDetailsSerialization,CheckoutTest#TestWeChatPayMiniProgramDetailsSerialization,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__02d7ff009c41/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__02d7ff009c41/repo,.,com.adyen.CheckoutTest.TestWeChatPayMiniProgramDetailsSerialization,CheckoutTest#TestWeChatPayMiniProgramDetailsSerialization,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__02d7ff009c41.log,9.04,false,2026-05-26T17:21:08.174547+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__02d7ff009c41/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestWeChatPayMiniProgramDetailsSerialization test,True,0,build,False
Adyen__adyen-java-api-library__04f2b9ab48df,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestDragonpayDetailsSerialization,com.adyen.CheckoutTest,CheckoutTest,TestDragonpayDetailsSerialization,CheckoutTest#TestDragonpayDetailsSerialization,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__04f2b9ab48df/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__04f2b9ab48df/repo,.,com.adyen.CheckoutTest.TestDragonpayDetailsSerialization,CheckoutTest#TestDragonpayDetailsSerialization,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__04f2b9ab48df.log,9.04,false,2026-05-26T17:04:25.122652+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__04f2b9ab48df/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestDragonpayDetailsSerialization test,True,0,build,False
Adyen__adyen-java-api-library__0c2cb56dab2c,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestShopperNotificationReferencePaymentMethodDetails,com.adyen.CheckoutTest,CheckoutTest,TestShopperNotificationReferencePaymentMethodDetails,CheckoutTest#TestShopperNotificationReferencePaymentMethodDetails,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__0c2cb56dab2c/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__0c2cb56dab2c/repo,.,com.adyen.CheckoutTest.TestShopperNotificationReferencePaymentMethodDetails,CheckoutTest#TestShopperNotificationReferencePaymentMethodDetails,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__0c2cb56dab2c.log,8.68,false,2026-05-26T17:20:10.879689+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__0c2cb56dab2c/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestShopperNotificationReferencePaymentMethodDetails test,True,0,build,False
Adyen__adyen-java-api-library__0d3eb2ce5730,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestGiropayDetailsSerialization,com.adyen.CheckoutTest,CheckoutTest,TestGiropayDetailsSerialization,CheckoutTest#TestGiropayDetailsSerialization,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__0d3eb2ce5730/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__0d3eb2ce5730/repo,.,com.adyen.CheckoutTest.TestGiropayDetailsSerialization,CheckoutTest#TestGiropayDetailsSerialization,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__0d3eb2ce5730.log,9.2,false,2026-05-26T17:04:56.706423+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__0d3eb2ce5730/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestGiropayDetailsSerialization test,True,0,build,False
Adyen__adyen-java-api-library__1787f257ffc9,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestGooglePayDetailsSerialization,com.adyen.CheckoutTest,CheckoutTest,TestGooglePayDetailsSerialization,CheckoutTest#TestGooglePayDetailsSerialization,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__1787f257ffc9/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__1787f257ffc9/repo,.,com.adyen.CheckoutTest.TestGooglePayDetailsSerialization,CheckoutTest#TestGooglePayDetailsSerialization,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__1787f257ffc9.log,9.06,false,2026-05-26T17:05:11.391790+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__1787f257ffc9/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestGooglePayDetailsSerialization test,True,0,build,False
Adyen__adyen-java-api-library__1d97ea202943,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestAchDetailsSerialization,com.adyen.CheckoutTest,CheckoutTest,TestAchDetailsSerialization,CheckoutTest#TestAchDetailsSerialization,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__1d97ea202943/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__1d97ea202943/repo,.,com.adyen.CheckoutTest.TestAchDetailsSerialization,CheckoutTest#TestAchDetailsSerialization,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__1d97ea202943.log,8.64,false,2026-05-26T17:03:10.655622+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__1d97ea202943/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestAchDetailsSerialization test,True,0,build,False
Adyen__adyen-java-api-library__2797676e31e8,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestDateSerializers,com.adyen.CheckoutTest,CheckoutTest,TestDateSerializers,CheckoutTest#TestDateSerializers,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__2797676e31e8/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__2797676e31e8/repo,.,com.adyen.CheckoutTest.TestDateSerializers,CheckoutTest#TestDateSerializers,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__2797676e31e8.log,8.86,false,2026-05-26T14:59:08.376316+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__2797676e31e8/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestDateSerializers test,True,0,build,False
Adyen__adyen-java-api-library__2e2361dcf608,Adyen/adyen-java-api-library,ID,ID,"[""ID""]",https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestMolPayDetailsSerialization,com.adyen.CheckoutTest,CheckoutTest,TestMolPayDetailsSerialization,CheckoutTest#TestMolPayDetailsSerialization,verified_feasible,,data/worktrees/idoft/Adyen__adyen-java-api-library__2e2361dcf608/repo,data/worktrees/idoft/Adyen__adyen-java-api-library__2e2361dcf608/repo,.,com.adyen.CheckoutTest.TestMolPayDetailsSerialization,CheckoutTest#TestMolPayDetailsSerialization,runs/logs/build_smoke_pipeline/Adyen__adyen-java-api-library__2e2361dcf608.log,9.31,false,2026-05-26T17:05:57.482971+00:00,"[""data/worktrees/idoft/Adyen__adyen-java-api-library__2e2361dcf608/repo/src/test/java/com/adyen/CheckoutTest.java""]",True,$PROJECT_DIR/tools/apache-maven-3.8.8/bin/mvn -q -DskipITs -DskipIT -DskipCheckstyle -Dcheckstyle.skip -Drat.skip=true -Dlicense.skip=true -DskipTests=false -Dtest=CheckoutTest#TestMolPayDetailsSerialization test,True,0,build,False
